Timestamp,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9
12/30/2019 14:25:57,9,8,7,2,1,6,4,3,5
12/30/2019 14:26:52,8,7,3,4,2,1,6,9,5
12/30/2019 14:28:10,7,8,9,2,1,3,5,4,6
12/30/2019 14:28:25,8,9,6,2,1,5,4,3,7
12/30/2019 14:28:32,8,9,6,2,1,5,4,3,7
12/30/2019 14:29:20,8,9,7,2,1,4,6,3,5
12/30/2019 14:32:15,8,9,6,3,1,7,5,2,4
12/30/2019 14:32:44,8,7,3,4,2,1,6,9,5
12/30/2019 14:33:04,7,8,5,3,4,6,2,1,9
12/30/2019 14:33:53,8,9,6,3,1,4,5,2,7
12/30/2019 14:34:57,8,9,4,5,6,3,1,7,2
12/30/2019 14:38:33,8,9,4,3,1,6,5,2,7
12/30/2019 14:39:32,8,7,9,1,2,4,5,3,6
12/30/2019 14:41:02,7,8,9,1,2,6,5,3,4
12/30/2019 14:51:46,8,9,4,3,1,5,6,2,7
12/30/2019 14:59:19,9,8,3,4,1,5,6,7,2
12/30/2019 15:03:38,8,9,6,3,2,4,5,1,7
12/30/2019 15:03:49,9,7,6,4,2,5,3,1,8
12/30/2019 15:04:18,8,9,7,2,1,4,5,3,6
12/30/2019 15:04:51,6,1,7,3,8,4,2,5,9
12/30/2019 15:05:59,9,8,5,3,1,7,4,2,6
12/30/2019 15:06:04,8,9,7,3,4,2,6,5,1
12/30/2019 15:06:12,7,9,2,5,2,6,5,4,1
12/30/2019 15:08:05,8,9,7,3,2,5,4,1,7
12/30/2019 15:08:11,7,9,2,5,1,3,8,4,6
12/30/2019 15:09:49,8,9,4,3,2,7,5,1,6
12/30/2019 15:10:33,7,9,8,5,1,3,4,2,6
12/30/2019 15:14:09,9,8,2,7,3,6,4,1,5
12/30/2019 15:16:32,8,7,5,6,3,4,2,1,9
12/30/2019 15:18:06,8,9,4,3,2,5,7,1,6
12/30/2019 15:21:52,8,9,7,2,1,4,5,3,6
12/30/2019 15:22:10,8,9,6,4,1,2,3,7,5
12/30/2019 15:30:47,9,8,5,4,1,2,7,3,6
12/30/2019 15:33:00,7,9,2,8,1,6,4,3,5
12/30/2019 15:38:34,8,9,6,2,1,5,4,3,7
12/30/2019 15:40:34,9,8,7,2,1,4,6,3,5
12/30/2019 15:41:46,9,4,1,6,5,2,8,7,3
12/30/2019 15:47:16,9,8,6,3,2,5,4,1,7
12/30/2019 15:51:44,1,2,9,6,8,3,4,5,7
12/30/2019 15:57:25,8,9,6,3,1,5,4,2,7
12/30/2019 15:58:06,8,9,5,6,1,4,3,2,7
12/30/2019 15:58:15,8,9,6,4,1,3,5,2,7
12/30/2019 16:00:34,9,8,5,3,1,2,7,6,4
12/30/2019 16:00:50,4,9,7,4,3,1,6,2,8
12/30/2019 16:08:26,8,9,5,7,3,1,4,2,6
12/30/2019 16:09:54,8,9,7,2,1,4,6,3,5
12/30/2019 16:10:47,8,9,7,2,1,4,6,3,5
12/30/2019 16:10:56,8,7,3,4,1,5,6,2,9
12/30/2019 16:17:51,9,8,6,3,2,4,5,1,7
12/30/2019 16:20:35,8,9,7,5,4,6,3,1,2
12/30/2019 16:21:06,7,9,5,1,2,4,6,3,8
12/30/2019 16:24:13,8,9,6,2,1,4,5,3,7
12/30/2019 16:25:31,8,9,3,6,5,4,7,1,2
12/30/2019 16:29:48,9,7,5,2,4,5,3,1,8
12/30/2019 16:38:22,9,7,1,4,2,3,8,5,6
12/30/2019 16:38:40,9,8,7,5,1,2,6,3,4
12/30/2019 16:39:59,9,8,7,4,1,5,2,3,6
12/30/2019 16:40:02,8,9,7,4,2,6,3,1,5
12/30/2019 16:40:08,9,8,7,2,1,3,4,5,6
12/30/2019 16:40:47,7,8,4,2,1,5,6,3,9
12/30/2019 16:41:29,9,8,7,5,4,3,6,1,2
12/30/2019 16:41:35,9,8,7,5,4,3,6,1,2
12/30/2019 16:43:31,9,7,5,3,2,2,4,1,2
12/30/2019 16:50:00,8,7,9,3,2,4,5,1,6
12/30/2019 16:51:00,8,9,4,2,1,3,6,7,5
12/30/2019 16:51:56,9,7,8,3,1,5,4,2,6
12/30/2019 16:52:25,8,9,7,1,2,5,4,3,6
12/30/2019 16:53:28,8,9,7,1,2,4,5,3,6
12/30/2019 16:55:32,8,9,7,4,1,6,5,2,3
12/30/2019 16:56:25,8,9,7,4,1,6,5,2,3
12/30/2019 16:56:30,8,9,2,4,3,1,5,6,7
12/30/2019 17:07:00,8,9,2,6,3,4,5,7,1
12/30/2019 17:09:08,8,9,7,5,1,3,4,2,6
12/30/2019 17:12:29,8,7,9,3,2,5,4,1,6
12/30/2019 17:17:32,8,9,7,4,5,3,2,1,6
12/30/2019 17:23:14,8,9,7,2,1,4,5,6,3
12/30/2019 17:35:26,8,9,6,5,2,7,4,1,3
12/30/2019 17:39:04,9,7,1,4,2,5,8,3,6
12/30/2019 17:40:20,5,9,3,6,1,2,4,8,7
12/30/2019 17:43:42,6,7,2,3,1,3,3,4,1
12/30/2019 17:44:47,9,8,7,6,2,5,1,4,3
12/30/2019 17:47:52,9,8,7,3,1,5,6,2,4
12/30/2019 17:50:04,8,7,4,1,3,5,6,2,9
12/30/2019 17:51:30,9,8,6,5,1,7,3,2,4
12/30/2019 17:53:41,8,9,6,1,2,3,4,5,7
12/30/2019 17:53:58,8,7,5,1,2,3,6,9,4
12/30/2019 17:54:55,8,9,6,2,1,3,4,7,5
12/30/2019 17:54:58,8,9,4,3,1,5,7,2,6
12/30/2019 18:07:23,7,9,6,2,1,4,5,3,8
12/30/2019 18:09:40,9,8,3,2,1,5,6,4,7
12/30/2019 18:12:36,9,8,5,2,1,3,6,7,4
12/30/2019 18:13:37,8,9,4,3,5,6,2,7,1
12/30/2019 18:14:06,6,9,2,1,3,5,4,8,7
12/30/2019 18:16:53,9,7,1,6,3,2,5,8,4
12/30/2019 18:20:05,1,9,4,3,2,5,6,8,7
12/30/2019 18:22:10,7,9,3,2,4,1,6,8,5
12/30/2019 18:25:23,9,8,3,2,1,7,6,4,5
12/30/2019 18:25:47,6,9,5,2,1,4,7,3,8
12/30/2019 18:26:19,8,9,7,1,2,5,6,3,4
12/30/2019 18:27:48,7,9,5,3,1,4,8,2,6
12/30/2019 18:35:10,8,9,7,3,1,2,6,4,5
12/30/2019 18:37:01,8,6,3,4,4,1,2,3,7
12/30/2019 18:37:27,8,9,7,3,1,6,5,2,4
12/30/2019 18:37:59,9,7,3,1,2,5,4,8,6
12/30/2019 18:43:19,8,9,6,3,1,4,5,2,7
12/30/2019 18:47:47,8,9,5,3,1,4,6,2,7
12/30/2019 18:51:51,9,8,3,5,7,2,6,1,4
12/30/2019 18:56:38,9,8,2,3,1,7,5,6,4
12/30/2019 18:58:30,9,8,1,4,7,5,6,2,3
12/30/2019 19:07:20,9,8,7,4,2,5,3,1,6
12/30/2019 19:13:25,8,9,6,4,1,5,3,2,7
12/30/2019 19:17:37,2,1,3,5,8,7,6,9,4
12/30/2019 19:25:03,8,9,7,4,1,5,3,2,6
12/30/2019 19:27:10,8,6,1,7,4,5,9,2,3
12/30/2019 19:28:57,9,7,8,6,4,5,2,1,3
12/30/2019 19:30:45,8,7,6,3,2,4,5,1,9
12/30/2019 19:39:15,8,9,4,1,2,7,6,3,5
12/30/2019 19:39:49,8,9,7,3,1,4,5,2,6
12/30/2019 19:41:22,7,9,3,5,2,5,6,1,6
12/30/2019 19:42:01,9,8,7,2,1,5,4,3,6
12/30/2019 19:42:11,9,8,3,5,2,7,1,4,6
12/30/2019 19:42:21,8,9,5,3,7,2,4,1,6
12/30/2019 19:43:52,9,8,4,2,1,3,5,7,6
12/30/2019 19:49:14,9,8,5,2,1,4,6,3,7
12/30/2019 19:49:15,8,9,5,2,3,6,4,1,7
12/30/2019 19:50:31,8,9,5,2,1,3,4,7,6
12/30/2019 19:55:54,9,8,4,5,6,7,2,3,1
12/30/2019 19:56:28,8,9,7,3,2,6,4,1,5
12/30/2019 20:01:16,8,9,5,2,1,6,3,4,7
12/30/2019 20:01:17,8,9,3,5,1,7,6,2,4
12/30/2019 20:05:50,8,9,7,2,1,3,6,4,5
12/30/2019 20:08:36,8,9,6,2,1,3,5,4,7
12/30/2019 20:15:00,8,9,8,6,5,5,4,1,7
12/30/2019 20:16:37,8,5,2,4,1,6,7,3,9
12/30/2019 20:16:57,9,8,4,2,1,6,5,3,7
12/30/2019 20:17:12,8,9,6,3,2,7,5,1,4
12/31/2019 8:02:52,8,5,4,3,9,7,1,6,2
12/31/2019 8:04:06,8,5,4,3,9,7,1,6,2
12/31/2019 8:09:11,8,5,4,3,9,7,1,6,2
12/31/2019 8:09:13,9,7,6,1,2,5,3,6,4
12/31/2019 8:22:16,8,9,4,3,1,2,5,6,7
12/31/2019 8:25:35,7,6,1,8,4,9,5,3,2
12/31/2019 8:38:05,8,6,3,5,2,4,7,1,9
12/31/2019 8:40:51,8,9,6,4,2,3,5,1,7
12/31/2019 8:49:23,9,8,3,5,2,4,1,6,4
12/31/2019 8:49:37,9,8,7,5,4,6,2,3,1
12/31/2019 8:51:37,9,8,7,3,1,5,4,2,6
12/31/2019 9:02:20,8,9,7,3,2,6,4,1,5
12/31/2019 9:07:48,7,9,8,3,5,2,6,1,4
12/31/2019 9:17:10,9,8,1,7,2,4,5,6,3
12/31/2019 9:17:10,8,9,6,1,2,5,4,3,7
12/31/2019 9:21:15,8,9,7,5,1,3,4,2,6
12/31/2019 9:22:54,7,4,1,5,2,3,6,8,9
12/31/2019 9:28:08,8,9,3,6,1,2,7,4,5
12/31/2019 9:31:31,7,8,1,6,2,4,5,9,3
12/31/2019 9:32:45,9,7,8,3,2,1,6,4,5
12/31/2019 9:35:40,9,8,7,3,1,2,4,5,6
12/31/2019 9:51:15,8,9,4,7,2,1,6,3,5
12/31/2019 9:58:41,7,9,8,4,3,5,2,1,6
12/31/2019 10:07:29,8,9,7,3,1,5,4,2,6
12/31/2019 10:13:14,8,9,7,5,2,6,4,1,3
12/31/2019 10:15:57,8,9,7,3,1,6,5,4,2
12/31/2019 10:17:35,7,9,4,2,1,5,6,3,8
12/31/2019 10:21:07,8,9,6,2,3,5,4,1,7
12/31/2019 10:27:15,8,9,6,4,2,5,3,1,7
12/31/2019 10:33:07,8,9,1,6,2,7,5,4,3
12/31/2019 10:34:22,8,7,5,4,2,3,6,1,9
12/31/2019 10:35:27,9,6,7,5,2,3,4,1,8
12/31/2019 10:36:45,7,8,5,3,2,6,4,1,9
12/31/2019 10:37:21,7,7,3,2,1,3,5,9,4
12/31/2019 10:38:39,8,9,6,3,2,5,4,1,7
12/31/2019 10:46:53,8,9,6,1,3,5,4,2,7
12/31/2019 10:56:33,6,5,2,4,1,3,7,9,7
12/31/2019 10:59:52,8,9,6,1,2,4,5,3,7
12/31/2019 11:02:07,8,9,1,3,2,5,6,4,7
12/31/2019 11:05:42,8,9,6,2,1,4,5,3,7
12/31/2019 11:07:46,7,9,2,1,4,5,8,3,6
12/31/2019 11:09:53,8,9,7,3,1,6,4,2,5
12/31/2019 11:13:19,9,8,6,3,2,4,5,1,7
12/31/2019 11:21:21,9,8,6,2,1,3,3,3,4
12/31/2019 11:30:50,7,5,4,3,9,6,1,8,2
12/31/2019 11:31:23,1,2,3,4,5,6,7,8,9
12/31/2019 11:32:31,5,6,4,2,9,7,1,8,3
12/31/2019 11:33:25,3,7,5,2,9,6,1,8,4
12/31/2019 11:41:16,2,1,9,6,8,5,7,4,3
12/31/2019 11:43:29,8,7,1,5,4,3,6,9,2
12/31/2019 11:44:20,8,9,2,4,1,4,3,5,2
12/31/2019 12:04:06,8,9,7,2,1,4,6,3,5
12/31/2019 12:06:25,8,9,1,3,2,6,4,7,5
12/31/2019 12:16:28,8,9,7,2,1,4,5,3,6
12/31/2019 12:17:48,8,9,7,5,2,6,4,1,3
12/31/2019 12:23:22,8,9,6,2,1,4,5,7,3
12/31/2019 12:24:30,5,8,3,6,4,2,7,1,9
12/31/2019 12:33:19,8,9,1,3,4,2,5,7,6
12/31/2019 12:36:40,8,9,6,1,3,4,7,2,5
12/31/2019 12:45:00,8,9,6,2,1,7,4,5,3
12/31/2019 13:00:45,6,8,7,1,3,5,4,2,9
12/31/2019 13:01:52,9,8,1,6,2,7,4,3,5
12/31/2019 13:06:46,9,8,1,4,3,2,7,5,6
12/31/2019 13:11:45,7,9,8,2,1,4,5,3,6
12/31/2019 13:12:53,5,9,1,2,6,3,7,8,4
12/31/2019 13:14:53,9,8,6,1,3,4,5,2,7
12/31/2019 13:24:47,8,9,7,5,4,1,2,6,3
12/31/2019 13:25:28,8,9,7,3,2,1,5,4,6
12/31/2019 13:27:27,8,9,2,4,1,3,6,7,5
12/31/2019 13:27:48,8,9,6,3,2,1,7,4,5
12/31/2019 13:29:53,4,6,7,3,2,1,8,9,5
12/31/2019 13:35:32,8,9,7,2,4,3,6,1,5
12/31/2019 14:03:09,8,9,4,3,1,2,5,7,6
12/31/2019 14:04:03,8,9,6,3,1,5,4,2,7
12/31/2019 14:05:57,8,9,7,4,1,3,5,2,6
12/31/2019 14:14:15,9,8,7,4,2,6,3,1,5
12/31/2019 14:22:45,9,8,7,3,1,2,4,6,5
12/31/2019 14:54:05,8,9,6,3,2,4,5,1,7
12/31/2019 14:59:00,9,8,7,1,2,3,6,5,4
12/31/2019 15:09:22,8,9,7,3,1,5,6,2,4
12/31/2019 15:20:17,8,9,7,4,2,5,3,1,6
12/31/2019 15:21:30,9,8,6,4,1,3,7,2,5
12/31/2019 15:28:31,6,7,8,2,1,3,4,9,5
12/31/2019 15:56:10,8,9,6,4,1,2,3,7,5
12/31/2019 16:07:58,7,8,4,1,2,3,9,5,6
12/31/2019 16:10:33,9,8,7,2,1,4,6,3,5
12/31/2019 16:14:49,5,9,6,2,4,5,6,8,3
12/31/2019 16:48:59,9,8,3,6,7,1,4,2,5
12/31/2019 16:52:40,9,8,7,5,2,6,4,1,3
12/31/2019 16:52:57,9,8,1,4,2,6,6,3,9
12/31/2019 16:56:05,6,9,8,3,1,5,4,2,7
12/31/2019 17:12:38,6,7,2,3,1,5,8,9,4
12/31/2019 17:18:15,8,9,1,4,2,3,6,7,5
12/31/2019 17:20:32,9,8,7,2,1,5,6,3,4
12/31/2019 17:53:51,9,8,7,6,4,5,2,3,1
12/31/2019 17:55:30,9,8,4,5,3,6,7,1,2
12/31/2019 18:29:00,6,8,9,1,7,2,3,5,4
12/31/2019 19:13:29,1,2,9,5,7,4,8,3,6
12/31/2019 19:30:40,9,8,7,1,2,6,5,3,4
12/31/2019 19:37:32,1,2,3,7,9,8,4,6,5
12/31/2019 19:40:11,7,8,6,2,3,5,4,1,9
12/31/2019 19:50:56,8,9,6,2,1,3,4,7,5
12/31/2019 20:05:10,9,8,3,6,2,5,4,1,7
12/31/2019 21:43:40,9,8,5,3,6,1,2,7,4
12/31/2019 21:45:46,9,8,7,2,1,4,5,6,3
12/31/2019 22:26:30,9,8,2,6,7,3,5,1,4
12/31/2019 22:36:59,7,8,4,3,1,2,3,4,5
12/31/2019 23:28:42,9,8,7,2,1,5,4,3,6
12/31/2019 23:48:27,9,8,2,2,1,6,4,1,5
12/31/2019 23:48:31,9,8,2,2,1,6,4,1,5
12/31/2019 23:49:08,8,7,3,2,1,2,4,3,5
12/31/2019 23:49:24,9,8,3,4,1,5,6,2,7
1/1/2020 0:13:03,9,8,3,7,5,6,4,1,2
1/1/2020 1:57:29,8,9,7,3,1,5,4,2,6
1/1/2020 2:09:30,6,7,9,3,5,4,2,1,8
1/1/2020 3:49:44,8,9,7,2,1,3,4,5,6
1/1/2020 7:27:51,8,7,4,5,2,3,6,1,9
1/1/2020 8:46:20,8,9,8,2,1,4,3,2,7
1/1/2020 8:46:55,9,8,7,2,1,4,5,3,6
1/1/2020 8:49:05,9,8,7,5,1,2,3,6,4
1/1/2020 12:09:25,9,8,6,7,5,3,3,2,1
1/1/2020 12:22:43,6,5,4,3,2,1,8,9,7
1/1/2020 13:13:58,5,9,6,5,2,1,4,3,7
1/1/2020 15:27:53,9,8,7,2,1,6,4,3,5
1/1/2020 15:44:14,5,4,1,7,2,6,9,3,9
1/1/2020 15:47:40,5,5,8,7,7,7,7,9,8
1/1/2020 15:52:19,9,8,6,3,1,7,5,2,3
1/1/2020 16:24:40,8,9,7,2,1,5,4,3,6
1/1/2020 16:40:19,7,9,8,1,2,4,5,3,6
1/1/2020 21:26:45,6,9,8,1,2,4,5,3,7
1/1/2020 22:00:38,8,9,7,3,1,6,4,2,5
1/1/2020 22:26:00,7,6,1,4,2,7,9,2,5
1/2/2020 2:44:11,9,8,7,5,3,5,1,2,4
1/2/2020 11:49:53,8,9,7,3,1,2,5,4,6
1/2/2020 13:18:35,2,7,6,4,3,1,9,7,8
1/3/2020 13:18:35,7,8,4,2,1,6,5,3,9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,0.6642335766,,,,,,,
